Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1860,-0.09591289575618753,-0.10666321323911764,-0.06664322374044611,-0.1688046129898288,-0.08093856657251275,-0.0051255249258576755,0.06136004943186386,0.034305957498552204,-0.1458018916375475,-0.13819230561377632,-0.04283551347260463,-0.09987125974143263
1861,-0.07912648817373269,-0.136211438854483,-0.197953950059976,-0.10495398446356825,-0.061046341274264886,0.009286367557203619,-0.047070957867528636,0.1087488244519131,-0.1798533662359322,-0.15826098332273278,0.02591306378414448,-0.191506014161923
1862,-0.1371147217437859,-0.08647541003512471,-0.2417502660207536,-0.13419355880741374,-0.06699673551452454,-0.01745797402535522,-0.10165627075449978,-0.13219006380440776,-0.08231174095816926,-0.12538759868500482,0.018794497968231197,0.054212589502486565
1863,-0.14423552728927563,-0.12750469921437932,-0.06710145888206709,-0.09196262991416329,-0.06098935239724107,0.05592247013619469,-0.03430981987384954,-0.18486410925488037,-0.06994616666479543,-0.1371435420058317,-0.025148377709955514,-0.10881627034023417
1864,-0.09777245600625073,-0.212893567111138,0.06291590885444147,-0.08039752680455928,-0.07937974385090778,0.017574351401999498,-0.13184497395221295,-0.12219915849659312,-0.03617709016754509,-0.014095210275718039,-0.11774713457165498,-0.010596072793822527
1865,-0.062434678100985706,-0.12535254327478917,0.015909916938948204,-0.08947808790558476,-0.08116507729480857,0.044472959533865555,-0.3812052568902606,0.00216571678824315,-0.09014057049982985,-0.02374898813448015,-0.12109343545709128,0.04656099221999739
1866,-0.0681587190422805,-0.07847892830600513,-0.07785367245357659,-0.133456569852384,-0.08904824294539605,0.005982486068500224,-0.19862898756492728,-0.02390888392325703,-0.0016426017027451085,-0.025283265443146147,-0.08708960355459532,0.1406243057284079
1867,0.034240160066810986,0.0016419687680281963,-0.1840816009026021,-0.07448222978456166,-0.08779040261300433,0.027666275663353918,-0.12678190760833186,-0.08602604815177942,-0.037245228201715455,0.031369974639277085,0.041753561626746115,0.026096554275246372
1868,-0.01741697510804461,-0.033281347135363286,-0.06267279394784285,-0.033262804399900474,-0.0535377981058211,0.09385389007313584,-0.0027547463829881665,-0.03841834828871774,0.02846906597720364,-0.17185357497415313,0.005654740565702543,-0.02440315126816057
1869,-0.03783756428246905,0.02777432240373768,-0.21350637480060652,-0.011847030145007537,-0.06343298944601614,0.0707632459052499,-0.0858759599966525,-0.003227550608276487,0.040105632857039546,0.027026925807064107,-0.07165800768083934,-0.020477580750677217
